Deposit number,Lat.,Long.,Age (Ma),Erosion rate (km/My) ,Ind. depth e-rate (km/My),Modern MAP (mm),Slope (o) (90m),Slope (o) (10km),Frequency
177,-6.3167,155.5,3.4,0.59,-,3511.20,35.60,20.39891633,1
178,-5.9667,150.38,24,0.08,-,4267.90,18.52,10.62335776,2
179,-5.7167,150.02,24,0.08,-,3806.40,17.51,12.73730728,2
180,-5.0667,141.33,3.65,0.55,-,5837.60,16.86,19.97449831,2
181,-5.0167,141.22,3.55,0.56,-,5837.60,9.35,12.90565202,2
182,-6.8833,146.45,9,0.22,-,2240.40,30.32,21.06208733,2
183,-5.75,145.17,7,0.29,-,3388.10,19.82,24.58842061,2
184,-8.5597,-77.897,5,0.40,-,497.24,13.55,24.22082725,5
185,-14.96,-71.347,36,0.06,-,815.84,1.28,4.895613668,6
186,-6.0833,-79.283,15,0.13,-,342.80,3.73,17.92017068,7
187,-17.682,-69.901,59,0.03,-,264.96,27.76,21.45038945,4
188,-6.7617,-78.606,10.5,0.19,-,803.64,30.56,16.92071245,7
189,-16.546,-71.553,57,0.04,-,355.04,30.67,11.5887657,6
190,-16.535,-71.592,62,0.03,-,355.04,10.13,12.40676535,6
191,-14.027,-72.333,36,0.06,-,768.12,21.49,11.37621187,5
192,-14.462,-71.767,33,0.06,-,806.88,19.20,11.32084283,5
193,-14.952,-71.263,31,0.06,-,815.84,7.79,9.754439278,6
194,-14.181,-72.348,35.7,0.06,-,806.88,5.19,13.49206883,5
195,-17.046,-70.707,51,0.04,-,308.24,7.27,17.78565978,5
196,-7.0167,-78.317,17,0.12,-,1020.10,9.36,15.13922274,7
197,-6.3583,-79.119,12,0.17,-,816.92,32.67,25.1510459,7
198,-14.462,-72.993,36,0.06,-,804.52,5.88,14.47193642,5
199,-14.158,-73.133,32,0.06,-,805.84,38.71,29.22371686,5
200,-8.2156,-77.772,15,0.13,-,877.00,8.17,23.65908498,5
201,-7.3,-78.322,20,0.10,-,1020.10,9.72,17.59523122,7
202,-6.915,-78.359,15.7,0.13,-,803.64,5.26,14.2219229,7
203,-8.7886,-77.996,14.7,0.14,-,497.24,32.55,26.56476393,4
204,-11.48,-76.084,7,0.29,-,909.48,10.33,13.36484938,2
205,-14.98,-71.307,38,0.05,-,815.84,10.91,6.736789256,6
206,-17.108,-70.616,54,0.04,-,308.24,14.04,16.8181905,5
207,-4.9444,-79.308,16,0.13,-,971.20,24.78,26.35562563,9
208,-6.7253,-78.669,13.4,0.15,-,803.64,15.08,13.35568549,7
209,-14.908,-71.313,33,0.06,-,815.84,39.84,11.12473065,6
210,-17.245,-70.614,57,0.04,-,308.24,13.06,17.11122184,5
211,-11.6,-76.133,7.5,0.27,-,909.48,4.14,15.06308981,2
212,7.3333,126.15,10,0.20,-,2343.50,1.39,10.92326043,5
213,9.4333,122.7,19.5,0.10,-,2220.20,11.99,7.694378322,4
214,9.4917,122.68,30,0.07,-,2220.20,22.46,9.429779478,4
215,17.344,121.06,7,0.29,-,2552.60,38.71,25.00397912,9
